"TCGA-02-0001-01C-01R-0179-07" "TCGA-02-0003-01A-01R-0179-07" "TCGA-02-0006-01B-01R-0179-07" "TCGA-02-0007-01A-01R-0179-07" "TCGA-02-0009-01A-01R-0179-07" "TCGA-02-0010-01A-01R-0179-07" "TCGA-02-0011-01B-01R-0179-07" "TCGA-02-0014-01A-01R-0179-07" "TCGA-02-0021-01A-01R-0179-07" "TCGA-02-0024-01B-01R-0179-07" "TCGA-02-0027-01A-01R-0179-07" "TCGA-02-0028-01A-01R-0179-07" "TCGA-02-0033-01A-01R-0179-07" "TCGA-02-0034-01A-01R-0179-07" "TCGA-02-0037-01A-01R-0179-07" "TCGA-02-0038-01A-01R-0179-07" "TCGA-02-0043-01A-01R-0179-07" "TCGA-02-0047-01A-01R-0179-07" "TCGA-02-0052-01A-01R-0179-07" "TCGA-02-0054-01A-01R-0179-07" "TCGA-02-0055-01A-01R-0179-07" "TCGA-02-0057-01A-01R-0179-07" "TCGA-02-0058-01A-01R-0179-07" "TCGA-02-0060-01A-01R-0179-07" "TCGA-02-0064-01A-01R-0195-07" "TCGA-02-0069-01A-01R-0195-07" "TCGA-02-0071-01A-01R-0195-07" "TCGA-02-0074-01A-01R-0195-07" "TCGA-02-0075-01A-01R-0195-07" "TCGA-02-0080-01A-01R-0195-07" "TCGA-02-0083-01A-01R-0195-07" "TCGA-02-0085-01A-01R-0195-07" "TCGA-02-0086-01A-01R-0195-07" "TCGA-02-0089-01A-01R-0195-07" "TCGA-02-0099-01A-01R-0195-07" "TCGA-02-0102-01A-01R-0195-07" "TCGA-02-0107-01A-01R-0195-07" "TCGA-02-0113-01A-01R-0195-07" "TCGA-02-0114-01A-01R-0195-07" "TCGA-02-0115-01A-01R-0195-07" "TCGA-02-0116-01A-01R-0195-07" "TCGA-06-0122-01A-01R-0213-07" "TCGA-06-0124-01A-01R-0213-07" "TCGA-06-0125-01A-01R-0213-07" "TCGA-06-0126-01A-01R-0213-07" "TCGA-06-0128-01A-01R-0213-07" "TCGA-06-0129-01A-01R-0213-07" "TCGA-06-0130-01A-01R-0213-07" "TCGA-06-0133-01A-02R-0213-07" "TCGA-06-0137-01B-02R-0213-07" "TCGA-06-0138-01A-02R-0229-07" "TCGA-06-0139-01A-01R-0213-07" "TCGA-06-0140-01A-01R-0213-07" "TCGA-06-0141-01A-01R-0213-07" "TCGA-06-0142-01A-01R-0213-07" "TCGA-06-0143-01A-01R-0213-07" "TCGA-06-0145-01A-06R-0213-07" "TCGA-06-0147-01A-02R-0229-07" "TCGA-06-0150-01A-01R-0229-07" "TCGA-06-0151-01A-01R-0229-07" "TCGA-06-0154-01A-03R-0229-07" "TCGA-06-0156-01A-03R-0229-07" "TCGA-06-0157-01A-01R-0229-07" "TCGA-06-0158-01A-01R-0229-07" "TCGA-06-0159-01A-01R-0229-07" "TCGA-06-0160-01A-01R-0229-07" "TCGA-06-0166-01A-01R-0229-07" "TCGA-06-0168-01A-02R-0229-07" "TCGA-06-0169-01A-01R-0213-07" "TCGA-06-0171-01A-02R-0229-07" "TCGA-06-0173-01A-01R-0229-07" "TCGA-06-0174-01A-01R-0229-07" "TCGA-06-0176-01A-03R-0229-07" "TCGA-06-0178-01A-01R-0229-07" "TCGA-06-0184-01A-01R-0229-07" "TCGA-06-0185-01A-01R-0229-07" "TCGA-06-0187-01A-01R-0229-07" "TCGA-06-0188-01A-01R-0229-07" "TCGA-06-0189-01A-05R-0229-07" "TCGA-06-0190-01A-01R-0229-07" "TCGA-06-0195-01B-01R-0229-07" "TCGA-06-0197-01A-02R-0229-07" "TCGA-06-0208-01B-01R-0229-07" "TCGA-06-0210-01B-01R-0229-07" "TCGA-06-0211-01B-01R-0229-07" "TCGA-06-0213-01A-01R-0229-07" "TCGA-06-0214-01A-02R-0229-07" "TCGA-06-0216-01A-01R-0229-07" "TCGA-06-0219-01A-01R-0229-07" "TCGA-06-0221-01A-01R-0229-07" "TCGA-06-0237-01A-02R-0229-07" "TCGA-06-0240-01A-02R-0229-07" "TCGA-06-0241-01A-02R-0229-07" "TCGA-02-0004-01A-01R-0300-07" "TCGA-02-0015-01A-01R-0300-07" "TCGA-02-0016-01A-01R-0300-07" "TCGA-02-0023-01B-01R-0300-07" "TCGA-02-0025-01A-01R-0300-07" "TCGA-02-0026-01B-01R-0300-07" "TCGA-02-0039-01A-01R-0300-07"
"GPR1" 1 2 2 1 0 1 1 1 1 1 1 2 1 2 1 1 0 1 1 3 1 1 1 1 0 1 1 0 0 0 1 1 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 1 1 1 5 0 1 0 1 1 0 1 1 2 1 0 0 0 0 1 1 2 3 0 1 0 0 1 1 0 1 0 1 0 1 5 4 2 4 6 22 4
"ELN" 5 9 3 12 13 2 2 2 4 2 2 2 3 6 7 8 7 7 3 11 2 3 2 2 11 3 8 11 7 5 3 21 7 9 7 44 4 4 4 3 13 4 3 15 5 9 5 18 5 10 8 2 9 4 3 11 8 2 4 4 4 3 11 6 2 2 2 4 5 3 4 10 5 4 4 3 6 6 3 3 2 2 3 5 4 3 4 2 2 2 23 2 4 0 1 1 1 1 1 1
"NMRK1" 3 1 4 2 1 0 1 0 1 0 1 0 2 3 1 3 1 1 3 2 4 3 2 1 2 0 3 1 4 1 2 2 3 3 3 2 4 2 1 5 0 1 3 1 1 1 0 7 5 2 3 7 2 2 2 2 3 10 6 1 1 1 1 1 5 6 2 4 2 3 2 1 3 0 2 1 0 1 4 3 2 3 0 2 0 4 1 1 4 2 1 9 2 1 1 1 1 2 2 1
"RHOXF1" 3 2 1 19 4 9 1 2 2 6 1 2 1 2 2 3 4 2 2 1 2 1 12 2 1 2 3 1 1 7 3 3 1 3 1 4 3 6 5 3 4 4 1 7 6 8 9 2 1 7 1 0 1 3 11 4 6 3 6 2 2 4 1 8 2 11 2 2 2 2 3 3 1 4 1 4 2 4 3 2 9 2 3 5 1 2 2 15 3 5 6 11 1 1 1 1 1 1 1 1
"GOLT1B" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 0 1 1 1 0 2 0 1 1 1 1 1 0 1 1 0 1 1 1 0 1 0 2 2 1 1 2 1 1 1 1 3 5 3 7 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 7 1 2 1 1 3 2 1 1 1 0 0 0 0 4 0 0
"FKBP1B" 2 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 2 2 1 2 0 2 1 1 1 1 0 0 0 2 1 1 1 1 1 1 0 0 1 0 0 1 1 1 3 0 0 4 2 2 1 0 1 1 1 2 1 6 3 2 3 1 1 2 5 2 1 1 2 2 2 1 0 0 2 1 2 1 1 2 1 3 2 1 3 1 3 3 3 1 14 2 6 5 2 4 3 3 3
"KIF6" 1 1 2 3 1 1 2 1 1 2 1 1 1 1 1 2 0 1 1 2 1 3 2 1 1 1 1 2 1 3 1 7 1 2 4 1 3 1 1 5 1 1 1 1 1 2 5 1 3 0 1 1 5 2 45 1 1 1 2 1 1 2 2 3 1 4 2 4 1 2 2 1 2 1 2 2 1 4 1 1 1 1 2 1 1 1 2 36 2 1 3 16 1 0 0 0 0 0 0 0
"CYSTM1" 4 1 3 3 1 1 1 0 1 1 3 1 6 3 2 2 1 3 2 9 3 3 3 1 2 0 2 1 2 1 3 2 7 2 2 1 8 5 1 5 1 1 2 1 1 2 0 1 5 2 3 2 2 6 2 1 2 4 3 4 3 4 1 2 3 3 3 3 2 1 3 1 4 1 3 2 3 3 2 3 2 6 3 13 1 3 2 4 4 2 2 7 1 0 0 1 1 0 0 0
"TTYH2" 3 4 2 2 11 5 5 2 5 4 2 3 1 3 6 8 3 31 5 5 1 7 3 2 5 7 14 13 5 10 9 14 3 14 6 4 6 1 5 13 26 8 5 14 20 18 17 3 9 7 5 5 5 6 66 7 10 2 3 1 4 5 7 15 2 12 6 4 4 7 11 6 2 5 16 7 6 16 2 3 2 1 11 2 8 4 9 51 5 3 11 11 4 6 3 1 3 6 1 5
"TSPAN6" 2 6 4 1 4 2 1 1 3 1 13 2 2 1 3 6 2 2 3 4 2 2 7 1 1 0 2 1 2 1 2 1 1 3 3 2 2 2 2 2 2 1 3 2 1 3 2 1 2 2 4 1 3 1 0 1 9 4 5 5 2 3 7 5 3 0 2 2 2 2 3 4 2 4 5 8 3 3 2 2 2 4 6 6 4 3 2 0 3 4 4 1 3 1 1 1 0 0 1 0
"IPCEF1" 2 2 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 2 1 1 1 2 3 1 2 1 1 1 1 1 2 1 1 2 2 2 2 11 1 2 1 2 2 1 2 9 1 1 3 2 1 2 1 1 4 2 31 2 3 2 1 2 1 1 2 3 2 2 2 2 1 6 2 2 2 2 2 4 37 2 3 3 17 1 17 15 2 19 2 12 20
"ELOVL7" 2 1 0 1 1 0 0 1 0 0 1 0 1 1 0 0 0 0 1 1 0 2 1 1 0 0 1 1 0 1 0 1 1 0 0 0 1 1 0 1 0 0 0 0 1 1 1 0 1 0 0 1 1 1 3 0 1 1 1 0 0 0 1 1 1 4 1 1 0 1 0 0 1 0 2 1 0 1 0 1 1 1 1 0 1 1 1 3 1 1 0 3 0 18 1 1 1 30 1 1
"GMNN" 0 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 0 1 2 1 1 0 3 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 2 1 0 1 0 0 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 2 0 1 1 1 0 1 1 1 0 1 19 4 8 9 2 6 4
"KCNA2" 8 10 4 9 10 9 7 6 6 9 12 16 1 3 3 4 9 8 2 8 2 6 7 10 2 35 9 7 3 7 4 17 5 9 4 7 5 3 9 19 10 9 5 17 8 7 11 1 15 9 17 3 8 16 24 11 8 1 10 9 6 8 16 7 3 22 8 7 3 8 10 13 2 4 7 7 14 11 4 4 9 2 14 3 9 2 9 28 7 5 11 37 15 1 1 1 1 1 1 1
"TPT1P8" 1 1 2 1 1 0 0 0 1 0 1 1 2 1 2 3 1 1 2 1 4 1 2 1 1 1 1 1 1 1 2 1 2 1 1 1 2 1 1 1 1 0 2 0 0 1 0 1 3 1 3 7 0 1 1 0 4 30 9 9 2 2 1 1 4 1 1 3 2 2 3 1 1 5 2 2 1 1 4 1 2 4 3 19 2 5 1 1 2 4 2 3 2 1 1 1 1 2 1 1
"TTC39B" 4 1 1 1 0 0 1 0 1 0 0 0 2 2 1 1 1 0 1 1 8 1 0 1 1 0 1 0 2 0 2 0 0 0 1 1 1 2 0 1 0 0 1 0 0 0 0 1 0 1 0 2 2 1 0 0 1 5 1 3 1 1 1 1 3 0 1 2 1 0 1 1 2 0 3 0 0 0 1 2 1 4 1 1 0 7 1 0 1 0 1 1 0 1 1 1 1 1 1 1
"SMPDL3A" 3 1 3 0 3 1 1 0 1 1 2 1 3 1 1 1 1 1 4 1 4 2 2 1 4 1 2 1 2 0 1 1 1 1 1 1 4 1 1 2 0 3 1 1 1 1 1 4 1 2 3 24 1 5 1 2 3 8 3 5 1 2 2 2 5 2 1 2 3 2 6 2 2 1 5 0 1 1 5 3 2 6 2 3 2 2 2 1 1 2 1 4 1 0 0 1 1 0 0 1
"PTPRN" 7 2 2 1 1 2 1 1 1 4 2 7 1 5 2 1 1 3 3 3 4 1 2 1 1 1 1 2 1 1 4 5 2 3 1 1 2 1 1 5 2 2 1 1 3 8 1 16 4 4 2 9 1 8 10 1 1 1 3 2 1 2 1 1 1 16 2 3 1 1 2 8 1 1 1 1 1 2 1 2 3 1 2 2 2 1 1 19 2 3 1 17 2 0 1 1 0 0 1 0
"CAMK2A" 7 3 1 1 2 1 1 2 1 4 3 1 1 1 1 1 4 4 1 1 2 1 4 3 1 1 2 1 2 1 2 11 7 8 2 3 2 2 1 8 2 4 5 5 9 2 1 2 5 2 2 1 2 6 55 3 3 1 7 8 2 1 2 3 2 34 2 9 2 2 3 2 1 1 5 4 3 2 1 1 7 1 4 2 4 1 2 44 2 3 1 42 2 1 1 1 1 1 1 1
"BHLHE23" 3 6 13 5 3 2 6 3 5 2 2 2 16 4 2 10 3 5 9 4 8 9 4 17 5 2 3 3 2 6 4 6 13 6 4 5 6 9 4 5 5 5 8 2 4 11 2 3 13 14 3 4 3 3 2 3 23 14 2 5 2 4 1 1 11 2 3 5 34 5 1 2 1 11 2 2 2 1 2 2 5 3 1 2 2 5 3 0 5 6 3 4 3 1 1 1 1 1 1 1
"BTK" 1 1 1 0 1 0 0 0 1 0 1 0 1 1 1 1 0 1 2 1 1 1 1 0 2 0 1 1 1 0 1 3 2 1 1 0 3 1 0 1 0 1 1 0 1 2 3 7 2 0 2 9 0 2 1 1 2 7 1 0 1 1 1 2 1 1 1 3 1 2 2 1 1 2 4 3 2 2 1 2 2 2 4 1 1 4 3 1 2 2 4 3 1 0 0 1 1 1 1 0
"FAM135B" 6 6 6 10 22 7 9 3 3 5 5 6 4 8 6 7 5 22 3 10 2 6 10 9 7 5 5 17 7 10 14 16 5 11 13 27 8 11 7 6 9 28 3 42 21 26 43 3 19 17 11 10 27 17 22 31 3 3 6 3 9 10 20 13 3 15 4 9 2 4 5 9 4 4 11 5 16 9 6 3 5 2 7 2 3 2 4 23 5 4 10 24 7 33 11 17 31 88 8 177
"RHBDF2" 3 1 2 0 1 0 1 0 1 1 2 0 7 4 1 1 1 3 1 1 3 5 2 4 2 0 2 1 2 1 0 5 8 2 2 0 3 1 0 2 0 2 2 0 1 2 4 3 2 2 2 8 1 6 3 2 1 2 1 1 1 1 1 1 1 1 1 2 1 2 1 0 2 0 4 1 2 2 1 2 1 3 2 1 0 2 2 1 0 1 1 1 1 0 0 0 0 0 1 0
"HELB" 0 0 1 0 0 1 2 1 0 2 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 105 1 1 1 0 1 0 0 0 0 0 1 1 1 1 1 0 1 0 0 1 1 0 0 5 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1
"ITGA8" 1 3 1 1 0 1 3 1 1 2 2 1 1 1 1 3 1 1 1 2 2 2 1 37 7 6 2 5 2 1 2 1 3 3 5 4 12 2 2 5 1 2 3 7 3 3 0 1 1 2 1 7 10 22 3 6 1 4 1 2 1 1 1 2 1 2 1 1 2 1 2 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 12 0 1 1 3 1
"TNF" 1 1 1 1 3 3 1 1 2 2 4 1 2 1 1 2 1 3 3 1 2 2 10 2 3 1 1 2 3 2 2 3 3 4 6 1 4 2 2 2 1 5 2 1 2 33 29 18 8 1 6 12 4 2 8 4 6 20 2 3 2 4 3 3 3 1 3 7 3 3 2 1 1 15 3 5 3 2 4 2 3 5 4 6 1 4 7 13 3 9 4 8 2 20 6 4 6 28 6 16
"MAFF" 1 0 2 0 1 1 2 0 1 1 1 1 1 4 2 1 1 1 1 0 4 1 1 1 1 0 1 1 2 1 1 1 2 2 1 1 2 1 1 1 1 3 1 1 1 0 0 1 0 2 1 1 2 1 0 3 0 1 1 0 2 1 0 1 1 0 1 1 1 1 2 1 1 0 1 1 5 1 1 2 1 1 0 2 1 1 1 0 1 0 0 0 1 5 5 7 5 3 9 4
"A1BG" 2 2 3 2 0 1 4 2 1 3 2 2 1 1 3 4 1 2 3 1 3 2 1 1 1 2 2 1 2 4 1 1 1 2 0 0 2 6 1 2 1 0 2 1 1 4 1 1 1 6 3 1 1 3 2 1 0 3 9 5 3 5 0 3 2 1 2 3 2 2 1 2 1 10 1 0 1 2 2 1 1 3 1 18 4 7 1 3 7 2 1 3 6 3 4 3 8 1 7 3
"TSHZ1" 1 3 1 2 2 4 13 6 2 6 10 9 1 1 1 1 5 4 1 7 1 2 3 7 1 19 1 4 1 9 1 3 1 2 5 2 2 1 3 2 3 5 2 4 4 2 3 1 2 4 4 1 5 5 5 10 2 1 1 1 2 3 2 2 1 4 5 1 1 3 4 4 1 1 1 2 3 4 2 1 5 1 2 1 2 0 2 8 1 1 1 3 5 2 0 1 2 3 0 3
"NIM1K" 3 17 8 9 8 5 6 14 9 9 5 19 2 11 20 7 7 12 6 12 1 15 8 20 6 9 22 13 10 18 5 8 4 9 8 10 5 9 5 12 7 9 7 8 4 6 8 1 6 6 19 2 25 5 9 9 3 3 6 2 12 12 15 12 5 18 15 7 3 21 16 23 8 8 26 8 14 29 6 9 17 13 6 2 9 9 14 9 7 3 25 12 15 1 1 1 1 1 1 1
"TMEM222" 5 1 2 1 3 3 5 2 4 3 3 1 2 3 5 2 2 3 3 1 1 2 3 1 3 4 3 2 3 5 5 3 8 5 4 4 4 7 5 7 4 4 3 2 3 4 3 2 5 5 4 2 5 3 4 2 8 3 3 6 3 4 3 3 4 4 3 2 5 2 5 3 2 4 4 3 6 2 4 2 3 4 2 2 4 3 3 3 3 3 5 4 4 0 0 0 0 0 0 0
"OR4N4" 7 1 1 1 5 11 2 15 1 1 1 3 1 1 1 1 4 3 1 1 1 1 2 1 1 1 1 10 4 3 2 2 1 1 1 2 1 1 20 1 1 4 5 2 1 19 54 1 6 1 1 1 3 1 3 3 1 1 1 1 2 1 2 1 1 1 7 1 1 1 1 3 1 8 1 1 2 4 1 1 1 2 1 1 1 1 1 2 1 4 2 1 6 1 1 2 1 0 1 1
"AGFG1" 2 1 2 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 2 2 3 1 1 1 1 2 2 1 1 1 1 1 2 1 2 1 1 1 1 1 1 2 2 1 1 2 2 1 2 1 2 4 2 2 1 2 2 3 2 2 3 1 1 2 2 1 2 2 1 1 1 2 1 2 2 1 2 1 2 3 1 2 2 3 1 2 1 1 1 2 1 2 1 0 0 0 0 0 0 0
"APBB1" 4 4 3 3 4 2 7 3 2 4 3 4 1 3 3 3 3 4 3 4 1 4 3 3 3 3 3 4 2 5 3 8 2 5 4 3 3 4 3 6 6 4 2 5 5 3 3 2 4 4 3 2 4 3 20 4 3 1 3 2 2 3 3 3 2 15 3 4 3 3 3 3 1 3 3 4 5 4 2 2 3 2 3 2 3 2 3 27 2 3 4 9 4 0 0 0 0 0 0 1
"LMCD1" 1 1 4 2 1 1 2 1 1 2 2 0 3 16 1 6 0 1 2 1 21 2 3 1 4 4 2 1 1 2 1 2 1 4 2 1 6 3 2 4 1 1 2 2 1 1 0 5 2 1 3 8 1 2 1 1 3 2 2 2 1 2 8 2 2 1 2 6 2 1 2 1 7 1 3 4 3 2 3 3 1 6 8 1 2 2 1 2 3 2 5 2 2 1 1 0 0 1 1 1
"TMEM206" 2 6 2 1 3 4 6 18 2 15 2 8 1 2 3 8 2 8 15 1 2 3 2 3 2 13 4 13 1 8 9 5 4 4 2 1 2 4 10 5 3 2 2 3 2 8 5 3 6 4 6 5 1 2 10 2 6 8 6 3 4 10 5 6 6 4 9 4 2 9 7 12 2 28 4 4 3 11 3 2 11 2 10 7 8 10 8 26 14 11 16 18 20 1 1 1 1 1 1 1
"B4GALT6" 1 2 1 2 0 1 1 2 2 10 2 1 1 1 1 1 0 2 1 2 1 1 1 2 1 3 0 2 0 1 1 2 1 1 2 1 1 1 2 2 1 1 1 2 1 2 1 0 1 1 0 1 0 4 2 2 0 0 4 1 0 1 2 2 1 12 3 1 0 3 1 2 1 1 0 1 0 1 0 1 2 1 1 1 1 1 1 12 1 1 1 7 2 1 1 1 1 1 1 0
"NTRK3" 8 5 5 2 14 7 10 6 6 10 7 12 1 3 8 5 10 9 2 7 2 8 9 6 9 41 17 10 10 21 9 9 4 16 5 38 6 12 11 13 26 19 3 36 26 15 18 1 16 34 8 5 23 15 29 20 22 1 5 4 7 6 7 12 2 16 7 7 5 7 9 12 1 4 17 9 21 7 4 3 5 4 13 2 11 2 8 16 3 5 10 15 12 6 2 3 4 3 1 2
"NOTCH3" 6 3 5 3 5 2 3 1 5 3 3 3 6 9 6 12 6 7 3 5 5 5 1 4 15 5 7 3 8 5 3 7 9 4 5 13 6 4 4 2 11 8 17 15 15 7 3 12 5 26 2 9 14 6 6 7 6 2 4 3 3 2 4 4 2 1 2 1 20 2 3 2 4 1 2 1 3 4 7 5 2 2 1 6 4 1 2 1 1 1 1 1 2 1 2 2 2 2 1 1
"TFF2" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 0 0 1 1 1 1 1 1 1 1 0 1 2 1 2 1 1 1 1 1 1 1 1 0 1 1 1 1 2 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 197 17 1 3 44 6 1
"RNF150" 2 2 2 0 1 3 5 6 1 3 2 1 0 2 0 1 0 4 2 1 2 1 1 3 1 15 1 5 1 7 0 2 1 1 2 1 3 0 1 0 1 1 1 1 1 5 2 2 2 1 1 1 1 2 4 1 0 1 2 1 2 3 2 2 1 5 2 1 6 1 2 2 2 2 2 1 0 4 0 1 2 0 1 1 1 0 2 5 0 1 1 3 1 2 2 1 2 2 11 2
"VAPA" 2 3 2 2 3 1 1 2 2 2 2 2 3 1 2 3 2 3 3 2 3 3 2 2 2 4 2 2 2 2 5 2 3 3 1 3 3 2 3 3 2 3 3 3 3 4 2 2 4 6 2 4 3 5 3 4 5 3 3 2 3 2 2 3 3 3 2 2 2 2 2 3 2 2 2 2 3 3 2 2 2 3 5 4 3 2 2 3 3 2 1 4 2 31 18 77 96 9 78 108
"LMOD2" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 4 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 12 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 2 1 1 1 152 2 1 91 18 2 28
"RASL11A" 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 0 1 3 1 2 1 1 1 2 1 1 1 1 1 1 3 3 4 2 1 3 1 1 2 1 1 2 0 1 2 2 1 5 1 2 9 1 2 5 1 2 46 2 6 1 1 1 1 2 2 1 5 0 2 2 1 1 4 3 2 1 1 3 1 2 1 4 2 1 9 2 8 2 4 3 14 1 0 0 0 0 0 1 1
"RNF213" 1 0 1 1 2 1 1 0 2 1 2 2 1 1 1 1 4 1 0 1 0 1 1 1 5 1 2 1 3 2 0 1 1 1 1 1 1 0 0 1 2 8 5 2 4 1 6 3 2 2 0 2 8 4 4 6 1 1 0 1 1 1 1 2 0 0 1 0 1 1 0 0 2 0 1 0 1 1 1 1 1 1 0 0 0 1 1 1 0 0 2 0 0 0 1 1 0 1 0 1
"PPARGC1A" 2 7 3 2 9 1 4 0 5 1 3 1 1 1 1 3 1 1 1 4 1 3 2 3 1 1 2 1 1 2 1 2 2 3 3 1 2 28 0 6 3 4 1 4 7 1 2 0 5 5 2 1 1 9 3 2 4 0 2 1 1 1 3 2 1 5 1 2 1 2 1 2 1 1 4 2 4 1 1 1 5 0 5 0 3 1 3 5 1 1 1 3 1 1 0 1 1 6 0 1
"TTC7A" 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 0 0 2 1 1 1 0 1 2 0 1 0 0 1 0 1 1 1 1 2 0 1 2 1 1 1 1 1 1 0 1 0 0 1 1 1 0 1 1 1 1 1 0 1 0 2 1 1 1 1 1 1 1 1 0 0 1 1 1 0 0 1 0 0 8 16 8 17 6 4 7
"PALLD" 6 10 26 6 8 4 5 1 2 4 5 3 23 20 22 14 9 8 5 7 35 11 4 5 13 12 12 9 15 10 6 14 3 15 12 10 22 8 4 7 5 17 9 8 7 10 3 29 7 7 16 5 16 6 3 9 5 6 18 2 9 8 12 18 8 2 5 9 8 8 13 8 10 4 8 7 25 12 13 16 7 27 4 14 6 21 11 1 7 8 8 3 2 1 1 1 1 1 1 2
"EIF5" 2 3 3 1 2 1 1 2 2 1 2 1 3 1 1 4 2 2 1 2 1 2 2 1 2 1 1 1 2 0 3 2 1 2 1 3 2 1 1 2 2 4 3 1 3 1 1 1 4 2 1 2 4 2 3 1 5 1 2 3 2 1 2 3 1 3 1 1 1 1 4 2 1 1 1 2 3 1 1 2 2 2 3 2 2 1 1 2 1 2 3 4 1 0 0 0 0 0 0 0
"NACC2" 7 5 2 1 1 1 1 2 5 1 2 1 8 2 4 3 3 1 2 9 2 7 1 1 2 2 10 5 2 1 1 6 2 1 3 1 1 1 3 8 1 2 6 3 2 1 1 3 1 2 1 2 2 5 3 4 2 2 0 2 2 1 1 1 1 1 19 1 1 1 1 1 5 1 6 0 1 1 2 3 1 3 1 0 2 1 6 1 1 0 1 1 1 1 1 1 1 1 1 1
"CTGF" 2 1 4 0 3 1 2 1 2 1 2 1 1 4 2 2 1 2 6 1 28 1 2 1 2 2 5 3 4 3 1 3 5 2 12 1 17 1 0 2 2 1 2 1 4 1 0 6 1 4 2 3 1 2 1 1 1 1 2 1 2 2 1 3 1 1 1 1 1 1 2 2 1 1 4 1 2 2 4 10 1 2 2 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1
"AP1AR" 1 1 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 1 1 1 0 1 0 1 1 1 1 1 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 1 1 1 1 1 0 0 0 0 1 1 1 0 2 0 0 0 0 1 1 1 1 1 0 0 1 1 1 1 0 1 0 3 5 9 14 12 7 7
"FEZF2" 3 2 2 4 1 2 1 3 1 3 1 1 1 1 2 2 1 4 2 2 2 3 3 3 1 1 2 2 1 2 2 5 1 4 8 2 2 1 1 6 1 3 2 2 5 5 6 1 5 1 14 2 4 2 26 1 1 2 3 1 1 3 5 13 2 31 1 5 3 3 20 5 2 1 2 2 1 7 2 1 4 1 3 2 2 1 2 27 3 3 2 55 1 3 1 1 1 1 1 1
"KRT4" 1 1 2 2 2 1 2 1 2 1 1 2 2 2 2 2 1 2 2 1 2 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 2 2 2 2 2 1 1 1 1 2 3 2 2 2 2 2 1 3 1 2 2 2 2 2 2 1 3 2 1 2 1 1 1 2 2 1 3 1 3 2 1 2 3 2 2 2 0 0 0 0 0 0 0
"BOD1L1" 0 1 1 1 1 3 2 1 1 2 2 1 1 1 0 1 3 1 0 1 1 1 0 1 3 3 1 3 4 3 1 1 1 1 1 2 1 1 1 1 1 2 1 4 4 1 3 1 1 2 0 1 4 6 2 6 1 0 0 0 1 0 1 2 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0 1 0 1 2 1 1 1 1 0 14 3 1 1 20 1 6
"SOHLH2" 1 2 2 1 2 3 0 3 2 2 2 1 1 1 2 5 2 1 1 1 1 1 1 1 0 0 3 2 1 1 3 1 1 3 3 3 0 1 0 0 4 0 1 2 1 1 0 1 3 1 3 1 1 1 1 1 6 0 5 0 4 6 1 1 1 0 1 0 0 1 7 1 1 0 0 1 3 3 1 1 1 0 1 2 1 1 4 1 0 1 3 1 1 1 1 1 1 1 1 1
