	A427	A549	Detroit562	FaDu	H1299	H1395	H1703	H2126	H2170	H2228	H358	H441	H520	H522	H596	HCC827	KYSE30	OE21	PC9	SCC15	SCC25	SKMES1	SW900
C2CD2|25966	4227	1169	965	1374	1377	1955	554	10026	1084	950	2547	1313	397	2035	2972	1091	1337	454	1801	186	1	8546	693
C2CD3|26005	3455	2577	2394	1168	1546	3684	2896	2883	3467	2172	4174	2839	2009	6514	1909	1648	1436	688	1893	327	537	4074	2981
C2CD4A|145741	9	2	1207	6	12	3819	3	4317	19	7	23	16	20	2	4	20	2	3	11	1	3	15	7
C2CD4B|388125	0	1	12	0	0	3	4	36	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
C2CD4C|126567	760	36	48	0	23	1	43	0	2	74	3	6	25	73	81	8	134	17	21	13	54	358	25
C2CD4D|100191040	0	0	0	1.21	0	817.04	0	204.78	35	0	248.78	8	6	1	7	2.06	66.89	3	25.16	5	22.77	24	22.31
C2orf14|100132708	0	0	0	0	1	0	0	1	1	2	5	0	0	5	0	0	0	0	0	0	0	0	0
C2orf15|150590	247	65.78	538.73	144	24.92	443	43.28	1199.46	455.17	16.31	563.75	298	393.07	845.65	128.89	272.58	146.81	39.25	366	4	18	65.21	207.64
C2orf16|84226	116	86	40	22	85	97	85	72	36	84	225	52	23	192	267	66	99	17	51	58	45	155	48
C2orf18|54978	6733	5630	3068	1547	5369	11382	3850	7455	4166	3582	5446	3674	3248	4295	9914	5711	10553	4690	3675	2011	5191	6477	3484
C2orf24|27013	4245	1476	1389	928	3265	4600	1290	1866	1972	2260	2371	1392	1924	2600	1378	1636	2189	1636	1446	1060	2224	3123	1521
C2orf27A|29798	60	3	6	6	20	9	3	7	9	20	36	13	2	7	4	29	17	4	6	20	14	20	46
C2orf27B|408029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf28|51374	4602.14	3021.1	1955.49	1922.91	4364.05	5465.65	2632.14	6923.83	3372.61	3423.95	7542.09	2099.23	4976.16	4760.1	5378.82	2556.01	3892.35	5740.21	2459.95	2439.58	4384.25	7140.75	2462
C2orf29|55571	4019	2557	3928	1032	2486	2407	2084	4376	3981	2321	6443	2455	3469	4360	2303	3308	3783	2193	2535	940	2728	4154	2754
C2orf34|79823	597	318	388	186	177	495	232	414	593	324	748	104	253	626	314	206	591	389	252	73	190	655	181
C2orf39|92749	0	3	0	0	0	2	2	0	0	0	1	2	3	1	1	0	2	0	5	3	0	5	0
C2orf3|6936	2320	1732	381	999	1943	1351	1021	1160	1264	1833	2163	906	929	4492	725	1014	2107	722	912	330	752	1238	749
C2orf40|84417	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C2orf42|54980	756	338	202	156	220	281	272	451	295	433	564	220	293	679	496	485	367	228	227	208	266	767	327
C2orf43|60526	1149	1636	554	28	1039	1352	1076	521	1546	949	3123	1511	1618	381	931	1391	1713	861	672	843	876	1452	656
C2orf44|80304	1694	1596	352	368	1097	442	825	546	1257	1102	1268	699	1266	1849	507	1413	2036	388	672	305	463	1346	396
C2orf47|79568	421.22	539.35	467.37	224.62	404.5	473.55	484.07	446.19	631.24	389.67	752.23	367.65	797.87	615.93	715.04	652.91	447.64	363.57	385.31	198.32	538.7	975.51	403.41
C2orf48|348738	74	87	6	36	224	36	31	99	7	75	180	21	48	68	12	25	22	64	78	1	48	31	28
C2orf49|79074	841	744	574	471	520	532	551	850	625	624	1663	449	861	937	705	1082	726	401	386	439	539	1209	654
C2orf50|130813	13	1	1	3	8	13	3	4	0	12	21	30	0	25	15	2	1	0	1	0	0	8	3
C2orf51|200523	0	2	1	0	1	1	0	3	0	1	106	0	0	0	0	0	1	0	0	0	0	0	0
C2orf52|151477	66	44	7	4	42	28	42	57	8	67	128	42	41	18	5	65	42	18	19	8	3	14	22
C2orf53|339779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf54|79919	33	0	531	506	0	0	2	345	59	0	1748	518	6	5	7	260	65	68	1433	0	5	0	282
C2orf55|343990	85	26	740	92	0	80	9	656	6	11	914	161	11	170	539	12	204	7	417	17	139	2	150
C2orf56|55471	1771	1113	794	220	759	1380	696	680	1045	978	1262	586	867	1333	611	995	924	320	501	293	214	734	404
C2orf57|165100	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf58|285154	1	7	17	0	2	12	4	83	18	5	65	6	0	9	21	6	5	0	5	3	0	34	13
C2orf60|129450	565.78	785.65	551.63	131.38	972.5	445.45	548.93	779.81	736.76	812.33	1887.77	420.35	912.13	1203.07	565.96	995.09	409.36	360.43	492.69	308.68	646.3	1107.49	687.59
C2orf61|285051	0	3	3	0	1	0	1	4	8	1	77.07	3	0	0	2	4	3.02	0	6	0	8.09	5.02	2
C2orf62|375307	14.14	1	1	0	0	0	0	13	0	1	5	0	0	16.44	3	0	1	0	0	1	0	8	0
C2orf63|130162	164	87	61	12	100	32	92	154	70	105	321	117	80	79	9	102	73	59	122	44	38	30	36
C2orf64|493753	726	682	794	196	463	533	516	1353	732	523	1634	538	930	2027	576	723	470	356	550	309	321	1137	511
C2orf65|130951	1	1	0	0	760	0	0	0	205	775	3	260	1	0	0	1	2	74	311	2	0	7	2
C2orf66|401027	0	0	0	0	5	0	1	0	2	2	20	3	2	1	3	2	1	0	0	1	0	6	1
C2orf67|151050	1474.27	470.73	623.03	138.41	1137.48	512.09	640.25	440.8	1037.97	890.15	1831.26	684.38	735.83	1163.62	311.68	1300.68	360.75	252.36	472.95	358.88	326.27	1299.63	783.01
C2orf68|388969	5068	1572	1414	1022	1156	1593	1235	2338	2040	1292	5956	1139	1710	4344	1297	1333	1929	1072	1005	489	790	2862	1077
C2orf69|205327	1692	1827	468	821	2438	1576	1171	1367	1085	1544	2879	1119	1625	3167	1578	2089	1247	849	1420	510	939	3895	1260
C2orf70|339778	0	10	0	5	0	2	4	0	1	0	5	0	21	0	1	3	1	31	34	1	4	191	26
C2orf71|388939	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	1	0	2	0	0
C2orf72|257407	646	313	51	13	25	337	333	2	161	64	96	8	144	408	2	35	70	13	6	26	2	110	604
C2orf73|129852	4	0	1	0	2	0	1	0	0	0	25	2	1	1	1	0	0	1	1	0	0	5	1
C2orf74|339804	441	541	200	459	829	302	390	85	795	1315	2022	184	0	319	643	1725	799	249	387	393	50	1436	747
C2orf76|130355	245	182	121	86	300	193	192	244	134	351	301	62	205	173	112	186	219	74	141	95	49	220	186
C2orf77|129881	328	200	56	70	234	16	125	187	42	205	332	138	47	279	256	216	103	170	127	42	49	758	218
